Record_ID,Timestamp,Soil_Moisture,Soil_Temperature,Soil_pH,Humidity,Ambient_Temperature,Solar_Radiation,Wind_Speed,NDVI_Index,5G_Latency_ms,Plant_Health_Status
243,2024-01-11 02:00:00,41.59,24.57,7.39,65.37,15.61,580.42,8.58,0.838,3.72,Healthy
244,2024-01-11 03:00:00,19.81,34.89,6.64,78.13,25.29,454.54,9.29,0.525,2.8,Healthy
245,2024-01-11 04:00:00,5.62,31.39,6.53,79.2,23.32,413.36,1.09,0.769,5.88,High Stress
246,2024-01-11 05:00:00,42.13,23.04,7.84,69.44,31.74,973.59,1.31,0.273,4.96,Moderate Stress
247,2024-01-11 06:00:00,22.13,11.59,6.13,40.84,20.4,328.06,0.53,0.23,4.51,Moderate Stress
248,2024-01-11 07:00:00,43.67,30.78,5.8,81.83,29.77,829.86,1.22,0.765,7.05,Moderate Stress
249,2024-01-11 08:00:00,43.54,24.97,6.96,76.81,37.83,987.33,2.25,0.519,7.21,Moderate Stress
250,2024-01-11 09:00:00,39.12,12.87,7.92,35.6,34.95,215.92,9.71,0.947,1.41,Moderate Stress
251,2024-01-11 10:00:00,16.78,12.35,6.44,60.15,38.04,759.22,6.75,0.273,4.05,Healthy
252,2024-01-11 11:00:00,20.4,32.74,5.66,41.31,39.46,402.33,7.83,0.842,4.71,High Stress
253,2024-01-11 12:00:00,39.05,26.73,6.35,51.94,15.27,232.39,7.81,0.56,1.87,Moderate Stress
254,2024-01-11 13:00:00,17.68,30.73,6.76,31.18,30.57,522.31,5.44,0.82,3.12,High Stress
255,2024-01-11 14:00:00,11.78,31.97,5.9,56.02,25.32,948.17,8.02,0.813,1.46,Moderate Stress
256,2024-01-11 15:00:00,27.27,24.29,7.15,65.74,36.5,209.41,6.04,0.887,9.97,Healthy
257,2024-01-11 16:00:00,42.45,22.94,7.99,70.27,21.3,670.31,3.28,0.423,7.63,Moderate Stress
258,2024-01-11 17:00:00,32.84,20.76,6.63,73.13,39.53,601.12,5.7,0.912,1.79,Moderate Stress
259,2024-01-11 18:00:00,27.8,17.92,6.39,84.36,30.34,898.71,5.43,0.314,1.18,High Stress
260,2024-01-11 19:00:00,8.89,20.86,6.5,44.01,34.84,267.2,8.27,0.261,7.47,High Stress
261,2024-01-11 20:00:00,29.6,29.35,5.79,37.83,17.14,745.22,9.82,0.524,4.95,Healthy
262,2024-01-11 21:00:00,44.6,25.05,7.71,85.35,19.59,744.09,4.23,0.821,8.08,High Stress
263,2024-01-11 22:00:00,10.6,32.31,6.54,40.18,33.96,735.26,7.68,0.555,9.31,High Stress
264,2024-01-11 23:00:00,25.73,21.08,6.47,93.36,15.55,953.87,1.18,0.822,6.39,High Stress
265,2024-01-12 00:00:00,40.09,25.18,7.15,84.76,35.42,858.47,7.81,0.747,2.68,Healthy
266,2024-01-12 01:00:00,34.63,25.78,6.61,62.56,15.35,233.58,3.84,0.357,8.04,Healthy
267,2024-01-12 02:00:00,32.88,24.79,7.12,93.79,31.43,576.87,0.59,0.912,9.6,Healthy
268,2024-01-12 03:00:00,33.1,27.57,5.65,36.33,24.13,518.36,3.76,0.246,6.22,High Stress
269,2024-01-12 04:00:00,19.38,15.94,7.53,49.7,30.29,448.12,6.18,0.874,7.14,High Stress
270,2024-01-12 05:00:00,16.74,22.81,7.85,71.48,32.4,561.07,1.37,0.428,4.04,Healthy
271,2024-01-12 06:00:00,37.37,12.61,7.12,52.75,23.56,507.36,9.26,0.575,4.43,High Stress
272,2024-01-12 07:00:00,37.4,19.61,7.89,90.34,17.7,545.87,0.96,0.517,7.61,High Stress
273,2024-01-12 08:00:00,39.68,22.19,5.88,34.27,16.74,983.41,9.31,0.329,9.35,Moderate Stress
274,2024-01-12 09:00:00,41.53,26.31,6.69,65.71,29.72,270.91,7.13,0.469,6.66,Healthy
275,2024-01-12 10:00:00,25.45,33.76,7.0,68.41,28.02,937.78,3.43,0.345,8.11,Healthy
276,2024-01-12 11:00:00,25.06,25.02,6.95,72.43,33.56,584.19,4.03,0.353,2.54,High Stress
277,2024-01-12 12:00:00,36.93,28.59,6.5,46.62,27.74,698.99,7.46,0.34,2.91,High Stress
278,2024-01-12 13:00:00,31.0,22.66,6.35,53.7,25.56,864.15,6.09,0.567,5.79,Moderate Stress
279,2024-01-12 14:00:00,33.08,25.85,5.82,84.84,24.95,488.37,6.78,0.798,2.59,Healthy
280,2024-01-12 15:00:00,36.83,11.77,6.48,42.67,15.66,544.34,4.01,0.627,6.71,Healthy
281,2024-01-12 16:00:00,40.6,16.36,5.91,83.75,23.39,527.61,4.98,0.87,3.62,High Stress
282,2024-01-12 17:00:00,18.52,19.05,7.34,66.57,39.4,499.78,9.9,0.677,8.12,Healthy
283,2024-01-12 18:00:00,20.02,21.81,6.02,79.54,36.84,940.42,2.3,0.717,8.27,High Stress
284,2024-01-12 19:00:00,8.76,11.14,5.65,76.38,23.23,863.14,4.29,0.701,5.17,Moderate Stress
285,2024-01-12 20:00:00,28.13,13.5,6.88,43.49,29.69,287.2,3.06,0.537,2.63,High Stress
286,2024-01-12 21:00:00,6.44,16.92,6.99,66.97,36.18,286.5,7.7,0.717,6.82,Moderate Stress
287,2024-01-12 22:00:00,23.62,34.29,7.68,86.4,26.03,542.3,7.69,0.252,9.94,High Stress
288,2024-01-12 23:00:00,26.71,18.28,6.94,58.09,15.45,278.93,3.07,0.845,6.6,Moderate Stress
289,2024-01-13 00:00:00,16.46,22.05,6.36,92.83,16.86,695.27,1.0,0.783,1.32,Moderate Stress
290,2024-01-13 01:00:00,28.63,14.9,7.51,59.39,27.76,314.95,0.31,0.384,1.16,Healthy
291,2024-01-13 02:00:00,6.22,25.27,6.85,39.28,39.24,617.9,4.39,0.776,3.88,High Stress
292,2024-01-13 03:00:00,6.49,17.02,5.7,55.31,32.33,205.78,4.22,0.209,2.76,Healthy
293,2024-01-13 04:00:00,37.9,15.17,6.91,91.86,16.77,453.28,9.89,0.363,8.32,Healthy
294,2024-01-13 05:00:00,19.41,22.91,7.77,50.78,19.73,741.75,4.8,0.249,8.6,High Stress
295,2024-01-13 06:00:00,10.08,10.14,6.49,86.43,34.28,587.23,2.71,0.785,3.33,Healthy
296,2024-01-13 07:00:00,25.89,10.19,6.24,87.28,36.04,982.62,8.93,0.767,3.93,Healthy
297,2024-01-13 08:00:00,35.8,15.48,5.86,52.76,30.44,899.28,5.01,0.81,3.13,Healthy
298,2024-01-13 09:00:00,13.63,10.92,5.88,35.41,31.11,487.26,6.07,0.203,9.18,High Stress
299,2024-01-13 10:00:00,29.92,12.7,6.58,77.1,15.71,236.39,1.14,0.576,5.52,Healthy
300,2024-01-13 11:00:00,8.41,18.47,6.99,50.25,35.71,876.5,3.95,0.729,6.91,Healthy
301,2024-01-13 12:00:00,7.07,30.06,5.7,80.89,34.71,928.99,9.45,0.317,4.74,Healthy
302,2024-01-13 13:00:00,26.25,24.3,7.85,58.77,21.48,856.5,5.98,0.687,6.68,High Stress
303,2024-01-13 14:00:00,26.63,22.82,7.39,61.54,32.72,302.36,3.58,0.263,4.47,Moderate Stress
304,2024-01-13 15:00:00,30.5,17.34,6.97,80.56,20.37,998.33,6.33,0.336,4.06,Moderate Stress
305,2024-01-13 16:00:00,34.04,33.29,7.57,54.85,16.01,406.87,9.12,0.557,6.71,Moderate Stress
306,2024-01-13 17:00:00,44.03,19.93,5.7,58.8,20.03,779.36,2.89,0.69,6.32,Moderate Stress
307,2024-01-13 18:00:00,25.65,12.18,6.69,54.45,19.47,926.43,5.15,0.309,3.64,Healthy
308,2024-01-13 19:00:00,17.92,25.43,7.08,53.88,23.44,388.55,9.6,0.339,2.34,High Stress
309,2024-01-13 20:00:00,36.81,12.85,7.57,64.19,25.46,926.61,1.89,0.353,4.32,Healthy
310,2024-01-13 21:00:00,15.83,18.63,7.46,82.57,27.71,447.59,7.25,0.379,4.74,High Stress
311,2024-01-13 22:00:00,22.56,22.69,6.19,53.51,26.92,981.13,6.22,0.37,6.66,Healthy
312,2024-01-13 23:00:00,8.14,31.86,7.85,64.08,21.77,425.01,6.86,0.496,9.23,Moderate Stress
313,2024-01-14 00:00:00,6.01,22.34,5.81,73.6,15.73,962.75,3.64,0.69,1.33,Moderate Stress
314,2024-01-14 01:00:00,43.51,27.56,7.69,47.51,30.13,242.84,3.28,0.529,3.19,High Stress
315,2024-01-14 02:00:00,38.44,34.82,7.93,48.04,24.89,767.42,6.91,0.782,2.74,Healthy
316,2024-01-14 03:00:00,32.84,13.29,5.94,90.67,22.47,625.69,2.31,0.739,5.52,Moderate Stress
317,2024-01-14 04:00:00,21.36,16.87,7.31,77.03,36.67,582.3,4.31,0.295,4.87,High Stress
318,2024-01-14 05:00:00,11.93,19.86,5.6,67.52,33.67,378.8,2.04,0.237,7.56,Healthy
319,2024-01-14 06:00:00,11.26,20.55,6.51,72.1,36.44,764.48,0.28,0.858,3.18,High Stress
320,2024-01-14 07:00:00,15.01,20.28,6.79,31.9,27.37,352.65,9.71,0.26,6.35,Healthy
321,2024-01-14 08:00:00,26.97,32.69,6.95,70.18,18.27,642.27,4.43,0.311,8.95,Healthy
322,2024-01-14 09:00:00,33.58,27.85,7.84,63.12,32.41,402.6,9.7,0.217,9.2,Healthy
323,2024-01-14 10:00:00,31.41,25.2,7.18,65.47,20.15,964.5,1.58,0.671,9.63,High Stress
324,2024-01-14 11:00:00,16.2,17.73,6.7,53.36,26.03,222.9,5.96,0.637,7.96,High Stress
325,2024-01-14 12:00:00,43.19,30.59,7.52,35.3,16.63,359.78,2.17,0.94,9.15,Healthy
326,2024-01-14 13:00:00,34.52,33.88,7.88,42.57,35.63,393.85,7.94,0.865,3.11,Moderate Stress
327,2024-01-14 14:00:00,27.17,30.53,5.56,91.8,18.15,531.25,7.88,0.508,2.78,Healthy
328,2024-01-14 15:00:00,29.47,10.04,7.96,56.57,37.58,386.18,1.3,0.479,1.06,High Stress
329,2024-01-14 16:00:00,21.78,25.91,5.72,60.33,36.61,593.08,9.14,0.423,7.36,Healthy
330,2024-01-14 17:00:00,14.91,11.28,7.54,33.43,26.61,897.97,2.11,0.314,9.44,High Stress
331,2024-01-14 18:00:00,19.24,16.44,6.2,32.44,33.61,769.65,6.21,0.304,2.68,Healthy
332,2024-01-14 19:00:00,35.31,11.49,5.83,76.62,30.49,663.97,9.86,0.299,6.73,Healthy
333,2024-01-14 20:00:00,5.58,25.09,6.6,64.98,35.08,271.2,8.85,0.286,7.72,Moderate Stress
334,2024-01-14 21:00:00,9.64,27.16,7.11,63.07,25.8,755.19,9.57,0.38,9.35,Moderate Stress
335,2024-01-14 22:00:00,6.84,12.86,6.45,45.8,34.65,333.13,3.56,0.43,6.82,High Stress
336,2024-01-14 23:00:00,6.63,19.6,5.64,78.41,26.56,829.09,1.23,0.921,9.73,Healthy
337,2024-01-15 00:00:00,39.22,21.41,7.0,40.94,38.52,400.05,2.05,0.634,4.1,High Stress
338,2024-01-15 01:00:00,33.15,19.23,7.76,42.35,27.16,533.64,5.1,0.941,4.15,Healthy
339,2024-01-15 02:00:00,23.97,13.03,6.46,59.95,26.57,480.38,7.97,0.479,5.89,Healthy
340,2024-01-15 03:00:00,8.91,20.47,6.04,48.61,34.63,887.05,1.67,0.543,4.45,Healthy
341,2024-01-15 04:00:00,24.66,28.78,6.61,46.09,35.54,301.24,6.67,0.443,1.01,Moderate Stress
342,2024-01-15 05:00:00,23.94,11.78,5.62,71.94,28.86,652.52,3.37,0.337,7.59,High Stress
343,2024-01-15 06:00:00,11.93,12.0,7.55,72.31,19.49,313.65,3.54,0.307,7.77,Healthy
344,2024-01-15 07:00:00,22.35,18.87,7.57,83.59,26.69,763.84,6.69,0.909,7.72,Healthy
345,2024-01-15 08:00:00,20.94,33.54,6.97,57.15,39.2,924.06,4.78,0.94,4.11,High Stress
346,2024-01-15 09:00:00,29.63,26.71,6.38,34.75,33.82,547.69,8.16,0.234,5.7,High Stress
347,2024-01-15 10:00:00,30.4,26.97,7.5,47.79,35.28,590.47,1.73,0.313,4.24,Healthy
348,2024-01-15 11:00:00,6.81,19.05,6.89,93.7,15.82,941.94,7.94,0.518,1.14,Moderate Stress
349,2024-01-15 12:00:00,19.98,24.84,7.56,68.76,26.7,616.79,0.83,0.34,6.06,Moderate Stress
350,2024-01-15 13:00:00,30.03,10.25,7.08,76.13,31.17,590.08,2.1,0.473,2.11,Healthy
351,2024-01-15 14:00:00,25.13,25.9,7.46,30.48,35.75,662.66,6.63,0.297,1.72,Moderate Stress
352,2024-01-15 15:00:00,39.26,32.83,7.0,63.68,16.23,751.38,8.58,0.542,7.8,High Stress
353,2024-01-15 16:00:00,31.35,25.31,6.54,32.44,36.31,285.51,2.68,0.404,1.09,Moderate Stress
354,2024-01-15 17:00:00,11.52,31.84,7.89,67.0,28.71,856.89,3.41,0.464,9.63,High Stress
355,2024-01-15 18:00:00,7.82,28.1,6.85,89.85,19.93,548.4,5.46,0.271,5.64,High Stress
356,2024-01-15 19:00:00,30.7,13.01,7.01,92.95,22.93,257.88,2.27,0.521,9.85,High Stress
357,2024-01-15 20:00:00,6.06,32.56,6.05,65.14,22.05,828.95,8.15,0.937,1.52,High Stress
358,2024-01-15 21:00:00,28.43,11.66,7.06,59.78,28.27,501.56,7.78,0.447,6.25,Moderate Stress
359,2024-01-15 22:00:00,42.61,23.35,6.93,91.43,16.29,280.29,1.62,0.857,4.14,High Stress
360,2024-01-15 23:00:00,28.02,13.55,5.96,73.78,18.96,707.02,4.75,0.832,8.59,Healthy
361,2024-01-16 00:00:00,20.53,10.29,5.65,34.22,35.32,904.11,7.79,0.914,4.25,High Stress
362,2024-01-16 01:00:00,30.73,20.55,7.01,60.27,18.32,910.2,3.51,0.793,3.34,Healthy
363,2024-01-16 02:00:00,23.33,17.38,7.41,45.62,20.83,966.13,6.4,0.695,8.72,High Stress
364,2024-01-16 03:00:00,26.82,22.15,6.81,60.54,26.33,894.16,0.69,0.842,4.37,High Stress
365,2024-01-16 04:00:00,42.66,24.43,6.07,59.61,27.93,201.71,6.17,0.257,1.15,Moderate Stress
366,2024-01-16 05:00:00,20.44,11.09,7.17,67.84,34.09,504.19,1.7,0.547,4.51,High Stress
367,2024-01-16 06:00:00,43.45,13.08,5.7,53.19,26.18,854.83,8.34,0.942,6.89,High Stress
368,2024-01-16 07:00:00,41.21,23.97,6.6,40.68,34.75,493.0,3.68,0.777,3.29,Moderate Stress
369,2024-01-16 08:00:00,12.83,18.58,5.91,62.74,30.46,681.24,2.96,0.922,4.89,Moderate Stress
370,2024-01-16 09:00:00,7.77,28.23,5.96,83.96,17.83,685.05,8.44,0.785,1.51,Healthy
371,2024-01-16 10:00:00,9.03,26.31,6.01,73.16,18.91,492.02,0.69,0.856,6.29,Moderate Stress
372,2024-01-16 11:00:00,5.73,31.14,6.47,51.99,25.93,923.58,4.09,0.73,7.81,Healthy
373,2024-01-16 12:00:00,8.78,27.31,5.63,90.81,24.92,602.58,3.83,0.77,4.72,High Stress
374,2024-01-16 13:00:00,32.32,20.75,6.49,89.29,33.59,571.83,2.99,0.592,4.78,Healthy
375,2024-01-16 14:00:00,7.85,26.82,6.78,43.61,29.52,998.01,9.14,0.893,1.79,Moderate Stress
376,2024-01-16 15:00:00,17.76,16.88,6.71,32.56,24.7,594.8,7.56,0.819,2.82,High Stress
377,2024-01-16 16:00:00,38.8,17.66,6.46,78.19,19.27,342.72,0.83,0.833,2.39,Healthy
378,2024-01-16 17:00:00,5.93,29.72,7.6,83.79,20.67,610.46,7.2,0.705,5.34,Healthy
379,2024-01-16 18:00:00,37.58,21.16,5.86,92.91,29.39,851.21,5.37,0.428,5.76,Healthy
380,2024-01-16 19:00:00,16.27,29.96,6.76,87.84,25.59,821.49,9.03,0.227,9.54,High Stress
381,2024-01-16 20:00:00,9.73,30.56,5.66,69.03,27.87,830.87,3.27,0.902,1.66,Healthy
382,2024-01-16 21:00:00,32.87,31.44,5.68,64.45,19.27,766.42,5.83,0.64,6.4,Healthy
383,2024-01-16 22:00:00,30.16,32.92,6.93,31.81,31.57,403.37,5.11,0.424,5.74,Moderate Stress
384,2024-01-16 23:00:00,40.1,20.77,6.92,46.03,36.31,889.67,5.0,0.312,5.65,Healthy
385,2024-01-17 00:00:00,34.4,17.97,7.7,59.87,21.45,914.75,4.67,0.822,8.86,High Stress
386,2024-01-17 01:00:00,37.14,24.55,6.89,70.85,27.29,355.32,2.22,0.827,2.85,Moderate Stress
387,2024-01-17 02:00:00,16.28,19.28,7.9,66.22,39.39,304.36,7.61,0.811,1.37,High Stress
388,2024-01-17 03:00:00,12.1,25.03,5.62,78.27,23.33,980.48,4.62,0.684,7.05,Moderate Stress
389,2024-01-17 04:00:00,35.02,27.64,5.75,48.18,29.88,894.66,9.59,0.475,4.11,Moderate Stress
390,2024-01-17 05:00:00,37.27,27.21,5.61,66.72,17.25,914.59,2.76,0.428,1.16,Healthy
391,2024-01-17 06:00:00,44.62,19.36,5.96,35.73,30.15,909.1,6.89,0.206,3.26,High Stress
392,2024-01-17 07:00:00,21.5,14.17,6.85,56.89,17.24,633.35,9.42,0.825,3.78,Healthy
393,2024-01-17 08:00:00,19.88,20.76,7.11,78.76,38.98,717.12,6.7,0.266,6.55,Moderate Stress
394,2024-01-17 09:00:00,36.06,13.56,5.61,75.07,32.89,636.29,8.74,0.673,2.55,Healthy
395,2024-01-17 10:00:00,18.63,32.25,7.86,94.39,34.7,240.97,8.31,0.578,4.72,Moderate Stress
396,2024-01-17 11:00:00,42.23,18.65,7.61,48.06,32.6,796.4,3.73,0.595,5.34,Moderate Stress
397,2024-01-17 12:00:00,39.34,13.86,6.24,62.38,29.74,604.27,6.08,0.895,5.13,High Stress
398,2024-01-17 13:00:00,22.16,10.64,5.69,51.42,26.25,718.17,1.73,0.224,9.77,High Stress
399,2024-01-17 14:00:00,35.03,26.15,5.92,58.64,36.46,602.11,5.45,0.78,1.41,High Stress
400,2024-01-17 15:00:00,35.18,25.92,5.82,85.7,38.92,593.45,2.46,0.239,9.56,High Stress
401,2024-01-17 16:00:00,9.12,18.52,5.81,74.47,27.48,337.43,7.49,0.229,6.24,Healthy
402,2024-01-17 17:00:00,41.1,11.79,6.8,87.36,38.29,422.97,5.37,0.522,8.16,High Stress
403,2024-01-17 18:00:00,25.21,20.24,6.11,43.23,29.58,327.08,4.23,0.247,4.87,High Stress
404,2024-01-17 19:00:00,38.06,17.78,6.4,86.77,28.46,356.53,2.83,0.792,5.08,High Stress
405,2024-01-17 20:00:00,17.8,26.93,7.97,33.88,26.36,978.38,9.99,0.597,8.91,Moderate Stress
406,2024-01-17 21:00:00,40.82,25.14,7.21,87.76,20.23,322.49,0.9,0.222,9.06,Moderate Stress
407,2024-01-17 22:00:00,20.57,19.11,7.87,51.39,15.09,415.42,0.63,0.23,3.15,High Stress
408,2024-01-17 23:00:00,5.43,15.45,5.86,50.45,21.04,672.47,2.33,0.66,2.79,Moderate Stress
409,2024-01-18 00:00:00,41.22,34.7,6.46,63.29,27.74,688.14,9.72,0.805,5.47,Moderate Stress
410,2024-01-18 01:00:00,8.65,21.35,6.89,91.14,24.5,323.18,9.8,0.528,9.1,Healthy
411,2024-01-18 02:00:00,17.77,27.21,5.69,33.11,26.21,834.97,6.62,0.616,3.9,Moderate Stress
412,2024-01-18 03:00:00,43.0,13.51,5.51,52.9,39.52,828.16,8.83,0.8,6.87,Healthy
413,2024-01-18 04:00:00,43.02,22.14,7.18,85.68,23.76,389.85,2.3,0.658,7.37,Moderate Stress
414,2024-01-18 05:00:00,27.94,10.69,7.1,55.74,26.3,430.93,9.73,0.369,8.01,High Stress
415,2024-01-18 06:00:00,30.27,22.64,6.53,42.95,18.34,950.39,1.6,0.66,6.08,Moderate Stress
416,2024-01-18 07:00:00,22.94,34.1,6.72,57.61,16.2,860.54,1.19,0.671,4.62,Moderate Stress
417,2024-01-18 08:00:00,16.73,19.61,6.54,55.06,34.39,758.24,1.3,0.751,9.7,Healthy
418,2024-01-18 09:00:00,18.15,10.97,5.56,89.5,29.27,265.79,5.82,0.666,6.5,High Stress
419,2024-01-18 10:00:00,31.9,10.77,6.34,79.53,34.02,534.61,7.85,0.927,7.56,Healthy
420,2024-01-18 11:00:00,35.09,19.7,5.94,62.83,18.75,647.44,3.79,0.348,4.1,High Stress
421,2024-01-18 12:00:00,36.66,14.0,5.75,94.24,29.3,349.93,9.78,0.913,7.03,High Stress
422,2024-01-18 13:00:00,36.58,10.58,7.89,60.24,21.34,558.58,4.46,0.604,3.32,Healthy
423,2024-01-18 14:00:00,8.65,28.91,7.0,33.79,20.7,680.82,1.67,0.704,3.21,Moderate Stress
424,2024-01-18 15:00:00,24.78,21.46,7.32,47.05,15.29,461.9,4.77,0.275,7.43,High Stress
425,2024-01-18 16:00:00,7.3,17.23,6.29,58.34,18.26,824.76,6.85,0.485,5.69,Moderate Stress
426,2024-01-18 17:00:00,26.98,32.5,6.48,40.2,22.73,872.36,8.36,0.777,7.15,Healthy
427,2024-01-18 18:00:00,22.66,12.9,6.09,91.59,17.92,458.89,4.7,0.73,3.42,Healthy
428,2024-01-18 19:00:00,40.51,33.9,5.74,79.85,39.65,870.93,6.02,0.23,6.39,Healthy
429,2024-01-18 20:00:00,19.04,17.85,5.95,47.44,22.72,282.86,2.82,0.61,5.0,Healthy
430,2024-01-18 21:00:00,9.68,32.21,7.49,68.4,18.26,870.18,6.53,0.266,6.37,High Stress
431,2024-01-18 22:00:00,10.72,25.07,7.19,76.89,19.98,322.2,9.86,0.947,3.62,Healthy
432,2024-01-18 23:00:00,35.46,30.67,6.87,91.18,29.69,266.34,0.68,0.873,7.44,Moderate Stress
433,2024-01-19 00:00:00,29.73,34.6,6.69,87.31,16.6,713.42,8.89,0.216,8.25,Moderate Stress
434,2024-01-19 01:00:00,9.04,17.21,7.81,63.49,36.56,577.55,5.71,0.844,3.34,High Stress
435,2024-01-19 02:00:00,8.36,34.03,5.68,80.35,39.04,926.31,2.67,0.89,3.71,Healthy
436,2024-01-19 03:00:00,33.04,19.74,6.2,66.54,21.17,490.55,9.56,0.465,6.95,High Stress
437,2024-01-19 04:00:00,7.91,19.64,6.37,65.93,26.25,429.72,4.94,0.74,7.26,High Stress
438,2024-01-19 05:00:00,37.87,18.51,7.46,37.46,15.55,600.59,3.45,0.532,7.34,High Stress
439,2024-01-19 06:00:00,33.25,23.54,7.98,38.2,31.02,564.76,1.98,0.691,7.14,Healthy
440,2024-01-19 07:00:00,8.25,13.85,6.1,64.42,25.35,475.54,2.6,0.455,4.54,Moderate Stress
441,2024-01-19 08:00:00,8.39,23.84,7.69,47.48,21.75,754.99,8.36,0.442,4.55,Moderate Stress
442,2024-01-19 09:00:00,44.47,23.54,7.58,31.37,20.17,807.65,6.22,0.518,3.29,High Stress
443,2024-01-19 10:00:00,19.97,29.05,6.06,76.98,31.35,882.39,9.15,0.309,2.41,High Stress
444,2024-01-19 11:00:00,19.83,30.84,6.5,32.11,25.41,978.29,2.47,0.823,7.23,Moderate Stress
445,2024-01-19 12:00:00,37.51,21.01,6.52,68.69,19.49,413.32,1.39,0.462,1.84,Moderate Stress
446,2024-01-19 13:00:00,42.89,17.56,7.95,65.05,32.23,772.87,0.26,0.5,9.44,Healthy
447,2024-01-19 14:00:00,44.44,16.48,5.95,92.97,29.13,515.41,5.18,0.871,8.44,High Stress
448,2024-01-19 15:00:00,35.14,14.87,7.5,61.47,36.47,741.67,9.98,0.572,8.72,Healthy
449,2024-01-19 16:00:00,20.05,11.44,6.34,34.13,17.94,580.79,7.01,0.608,9.16,Moderate Stress
450,2024-01-19 17:00:00,8.34,18.56,7.33,65.86,34.64,995.02,3.22,0.917,4.68,Moderate Stress
451,2024-01-19 18:00:00,36.09,16.76,6.55,84.67,31.84,783.12,8.79,0.865,8.62,Moderate Stress
452,2024-01-19 19:00:00,27.34,34.16,6.95,94.8,17.88,961.99,7.86,0.327,2.42,Moderate Stress
453,2024-01-19 20:00:00,21.97,23.94,7.58,57.97,32.37,867.98,0.35,0.555,1.19,Healthy
454,2024-01-19 21:00:00,41.25,18.68,7.51,50.82,26.04,922.32,8.21,0.928,8.06,Moderate Stress
455,2024-01-19 22:00:00,9.45,24.51,7.67,88.93,38.62,851.54,3.15,0.479,1.67,High Stress
456,2024-01-19 23:00:00,24.71,13.48,5.65,42.43,18.54,567.33,1.67,0.479,9.9,Moderate Stress
457,2024-01-20 00:00:00,5.45,21.1,7.23,70.0,31.07,401.43,2.42,0.346,7.07,High Stress
458,2024-01-20 01:00:00,23.75,25.66,5.85,56.37,24.55,496.26,4.79,0.286,7.78,Moderate Stress
459,2024-01-20 02:00:00,7.25,22.22,6.54,32.67,38.92,216.19,4.36,0.755,3.21,Healthy
460,2024-01-20 03:00:00,9.75,20.04,6.87,52.57,23.25,619.19,3.03,0.778,7.06,High Stress
461,2024-01-20 04:00:00,9.7,34.85,6.51,47.24,39.05,604.05,1.89,0.927,1.39,Healthy
462,2024-01-20 05:00:00,30.97,32.01,6.8,74.6,37.54,620.2,7.67,0.78,8.54,Moderate Stress
463,2024-01-20 06:00:00,34.84,25.59,7.99,91.67,21.76,979.22,9.9,0.383,2.53,Healthy
464,2024-01-20 07:00:00,28.33,24.23,5.84,47.42,35.09,929.16,7.82,0.23,7.28,Moderate Stress
465,2024-01-20 08:00:00,43.49,25.52,7.19,82.75,39.89,329.37,3.1,0.939,3.02,Healthy
466,2024-01-20 09:00:00,19.99,15.03,6.49,33.6,21.32,495.11,2.6,0.455,1.62,Healthy
467,2024-01-20 10:00:00,16.43,19.88,5.83,64.98,25.92,539.16,2.33,0.434,5.33,High Stress
468,2024-01-20 11:00:00,39.74,10.99,5.9,34.59,28.0,488.43,1.54,0.879,2.52,Moderate Stress
469,2024-01-20 12:00:00,13.94,21.89,7.87,90.71,22.37,838.8,5.6,0.639,7.56,Healthy
470,2024-01-20 13:00:00,43.53,23.58,7.7,79.81,15.38,619.23,6.13,0.361,3.14,Moderate Stress
471,2024-01-20 14:00:00,5.49,15.69,7.77,72.77,20.5,657.68,7.11,0.867,4.08,High Stress
472,2024-01-20 15:00:00,43.8,34.1,7.98,83.55,22.05,882.41,6.87,0.945,6.11,Healthy
473,2024-01-20 16:00:00,6.73,32.74,6.02,72.09,26.09,844.74,3.06,0.265,3.56,Moderate Stress
474,2024-01-20 17:00:00,40.65,28.05,6.39,92.98,19.28,305.77,3.44,0.847,4.4,Healthy
475,2024-01-20 18:00:00,26.11,23.33,7.17,76.41,36.83,771.13,6.88,0.493,8.34,Healthy
476,2024-01-20 19:00:00,44.72,31.75,6.71,90.1,32.62,548.35,3.62,0.593,2.61,Healthy
477,2024-01-20 20:00:00,7.95,13.27,6.55,63.61,17.13,435.72,2.28,0.886,1.74,Healthy
478,2024-01-20 21:00:00,27.15,29.76,6.39,37.61,31.25,240.02,3.87,0.93,3.96,High Stress
479,2024-01-20 22:00:00,43.77,13.12,6.98,64.33,31.34,589.8,2.87,0.397,4.82,High Stress
480,2024-01-20 23:00:00,25.92,29.86,6.94,38.25,38.91,484.35,1.07,0.36,5.88,Moderate Stress
481,2024-01-21 00:00:00,30.18,16.89,5.9,68.51,15.08,401.21,8.34,0.26,4.35,Moderate Stress
482,2024-01-21 01:00:00,32.83,31.93,6.68,61.36,21.2,755.74,8.56,0.621,8.11,Healthy
483,2024-01-21 02:00:00,23.18,33.6,6.88,70.47,38.19,815.59,2.35,0.21,1.35,Healthy
484,2024-01-21 03:00:00,30.1,13.72,6.93,30.65,38.3,395.83,0.83,0.509,4.89,Healthy
485,2024-01-21 04:00:00,28.37,21.57,6.03,42.66,33.01,239.56,7.44,0.255,4.44,High Stress
486,2024-01-21 05:00:00,41.05,34.52,7.36,61.94,34.14,879.0,2.27,0.504,6.83,Healthy
